ImgId,title,description,categories
B000H8KGZ4,Shaggy Costume - Large,"Item Sizing: The size guide found below is specific to the costume in this listing. Other costumes may have different sizing patterns. For example, company A's size medium may be equivalent to company B's size large. Be sure to check the size chart closely to make sure you know what you are ordering. The list below may indicate that more than one size fits you. If you are unsure of which size to choose, then go with the larger size because these costumes may tend to run small.Measurements are stated in inches.SizeOne Size |Chest29-34 |Waist23-27 |Height50-54SizeToddler |Chest23-24 |Waist22-24 |Height35-39SizeSmall |Chest27-28 |Waist25-26 |Height44-48SizeMedium |Chest29-32 |Waist27-30 |Height50-54SizeLarge |Chest33-35 |Waist31-34 |Height56-60SizeX-Large |Chest35-39 |Waist32-35 |Height58-60Item Color(s): This item's color(s) may vary due to inherent variations manufacturing dye application or your computer monitor's color settings.","Clothing, Shoes & Jewelry"
B00005MA7O,Conair Shiny Multi-Plate Styler,"Give your hair total range with the Conair CS9CS Shiny Styles crimper/straightener. This styling tool features four sets of easily changed plates--three that let you go wavy, straight, or crimped, and a fourth pair with a gentle star surface to make hair shine. Conair's straightforward design makes it easy to switch styling techniques, too. Just press each plate's release button, slide it off, and fit a new one into the plate grooves. The iron's handle is light and manageable and works for left- or righthanders. Designed for use only when hair is dry, the iron works well on naturally curly, straight, or wavy locks.--Emily Bedard",Beauty
B000BTECFE,Florida State University Accessory Cover - Marathon,"Britax(R) is excited to announce the launch of its new Collegiate program featuring the most popular colleges and universities in the country. Accessory covers will allow existing owners of Marathon(TM) restraints to show their school spirit and share it with their children! The Britax Collegiate program features Microfibre(R) child restraint covers with high quality embroidery of officially licensed university logos and trademarks. These vibrant, stain resistant, and washable covers will sport the official school colors, and are truly an ideal and unique way to demonstrate support for one's Alma Mater or favorite college. Britax will launch the collegiate accessory program with fifteen schools. These covers are perfect for use during Football, Basketball, and Baseball seasons...on game day or every day!",Baby
B0000A1ANQ,"MLB Boston Red Sox Pinch Hitter Wool Replica Adjustable Cap, Navy","Founded in 1920, the New Era Cap Company is the leading headwear manufacturer and creator of New Era Apparel, products that transcend time, culture, sport, and fashion. Producing more than 35 million caps per year, New Era is the exclusive manufacturer and marketer of the official on-field cap worn by every Major League Baseball team and their Minor League affiliates. On the street, New Era is known as the Originator of the True Fitted for its signature cap style, the 59FIFTY. The company is headquartered in Buffalo, New York and operates facilities in Alabama, Canada, Europe, Japan, and Hong Kong. New Era is a &#x91;Category A&#x92; affiliate of the Fair Labor Association.",Sports & Outdoors
B00004TS3E,Brother 1 Inch x 26.2 Feet Red on White for P-Touch (TZ252),Find out which tapes are compatible with your label maker.Find your tape in an assortment of fun colors.,Electronics
B0057V4W9M,VGA to HDMI With Audio Converter Plus AGPtek USB 2.0 All-in-one Card Reader,"Features:1. Supports VGA Video + L/R Audio input2. Supports HDMI1.3 out.3. Simply connect the computer to the INPUT--VGA (video) + L/R Audio and HDTV to the OUTPUT--HDMI.4. Convert the VGA Video + L/R Audio signal to HDMI signal.5. Enable the content in PC displayed on the large screem of HDTV.6. Compliant with HDMI 1.3 standard.7. Support 700x400@85Hz, 640x480@60Hz, 800x600@60Hz,1024x768@60Hz, 1280x720@60Hz, 1280x768@60Hz,1280x1024@60Hz, 1360x768@60Hz, 1600x1200@60Hz 1920x1080@60Hz, resolution.8. High definition image.9. Power/signal LED indicators.10. No software driver needed.Package Includes:1 x VGA to HDMI Converter1 x AC Adapter1 x AGPtek USB 2.0 All-in-one Card ReaderNOTE: different TVs need different resolutions, if your TV doesn't works, please change the resolution of your signal source to the one that best fits your TV.",All Electronics
B0002MBUPA,WeatherTech All-Weather Trim to Fit Rear Rubber Mats (Black),"""These rear mats are designed to be trimmed or cut so that they may be customized for an exact fit. The WeatherTechAll-Weather Floor Mats have deeply sculpted channels designed to trap water, road salt, mud and sand. They won't curl, crack or harden in sub-zero weather. Our All-Weather Floor Mats also have anti-skid ridges to prevent shifting in your vehicle and come with a protective, non-stick finish to make cleanup quick and easy. WeatherTech All-Weather Floor Mats meet FMVSS302 and are manufactured to ISO 9001 standards. Choose from Black, Tan or Grey to complement virtually any interior color. """,Automotive
B00020T4UK,"Verbatim DVD-R 4.7GB 8X DataLifePlus White Inkjet Printable, Hub Printable 50 Disc Spindle 94854","Combining an exceptional inkjet hub-printable surface with professional grade, Metal Azo, recording performance and reliability, Verbatim DataLifePlus White Inkjet Hub Printable DVD-R 8x discs are the ultimate choice for developing, customizing and distributing DVD content.  Certified for 1x-8x DVD recording and preferred by DVD-R drive manufacturers, Verbatim DataLifePlus DVD-R media uses an advanced Metal Azo recording dye to provide the highest level of performance, compatibility, and archival life. Once recorded, these discs are read compatible with the vast majority of DVD-ROM drives and DVD video players. As with all Verbatim printable media, DataLifePlus White Inkjet Hub Printable 8x DVD-R discs have been extensively tested and qualified for use with DVD/CD Inkjet printers and duplicators offered by such leading industry manufacturers as Primera, Microboards & Epson. Reliable, high performance inkjet printing and DVD recording, all in one disc, with Verbatim DataLifePlus 8X DVD-R Inkjet Printable media",All Electronics
B0002RNRZ6,Red R Racing Universal-Fit Bucket Seat Cover,"PlastiColor Red R Racing Universal-Fit Bucket Seat Cover is made from 100% Polyester material, and is designed to fit most high and low-backed bucket seats. It can be installed over or under the headrest on vehicles with removable headrests, and some vehicles with armrests may need to have them removed and reinstalled for a semi-custom fit. This seatcover comes with elastic straps and hooks that will snug and secure it under the seat.",Automotive
B000052Y6V,Top Brass Creme Formula Hairgroom for Men 3.3 oz (93 g),"Non-greasy control for a man's hair. Makes it behave right, style easy and look perfectly groomed. This non-greasy cream control's a mans hair so it behaves the way it should. Imparts a healthy shine and gives extra body so the hair is easy to style.",Beauty
B00002N7C1,Westinghouse Bathroom Bar Fixture,"The Angelo Brothers Three-Light Solid Oak Bath Bar features polished brass finish accents.  It is 18 inches wide, 4-1/2 inches high, and extends to 2-1/8 inches without the bulbs and 5-1/8 inches with the bulbs.  It uses three white standard base bulbs (100-watt maximum).  Angelo interior wall fixtures are a reflection of the company's faithful commitment to quality and excellence.",Tools & Home Improvement
B00000IZUC,Square Root Puzzle,"This mind-teasing Square Root puzzle stands out from the crowd for two reasons: first, it's  difficult, requiring more than 80 moves to solve; second, it's big (7.5-inches-by-9-inches) and handsome,  handcrafted from smooth, unpainted wood, backed with wine-colored felt. The object of the game is to  maneuver the largest square out through the slot at the bottom--without removing, lifting, or turning any of  the 10 pieces. Did I mention how difficult it is? Luckily, a Cheater's Map to Success is available separately  from Square Root Games at an additional charge.--Rebecca Hughes",Toys & Games
B00006ISF0,"Bayer Aspirin Pain Reliever, Extra Strength Back &amp; Body Pain, 50-Count Caplets",Extra Strength Bayer Back & Body Caplets 500mg combines the trusted strength of Bayer Aspirin with an extra boost of power from a special pain relief enhancer to soothe aching back and body muscles and relieve tough pain.,Health & Personal Care
B000IUUOC6,Rhinestone Cleopatra Asp Headpiece,"Includes: Headpiece.. Not Included: Wig.. Dimensions: 2.5""H (Snake).","Clothing, Shoes & Jewelry"
B00A2VD7BG,Z One Concept Milk_Shake Natural Milk Mask 18 oz. (500 g),"Product DescriptionZ One Concept Milk_Shake Natural Milk Mask uses the regenerating nourishing power of milk complimented by the specific restructuring base giving deep and long lasting results. The treatment Natural Milk Mask is specific for dry or damaged hair. It acts on inner and outer hair structure conferring reconstruction to the cortex and other vital aspects of the hair. The amino acid of milk proteins bond to hair structure adding strength and body. The avocado and rice oils, honey and fruit extracts, hydrating agents and vitamin E act both inside and outside, leaving hair revitalized, hydrated and shiny. The Integrity 41 guarantees a great color seal.",All Beauty
B004RPKRLQ,Cote Bastide Amber Refresher Oil 10ml,"Ambre Essence refresher oil used to refresh the Ambre Potpourri from Cote Bastide. This bottle includes a dropper allowing for precise oil application to resin crystals. Very little oil is required to provide a full, rich scent in any room.",All Beauty
B001ED76IG,Escada Into The Blue by Escada Vial (sample) .06 oz,The fragrance opens on fresh green notes of leaves and herbs enlivened with a pop of star fruit. Peony helps form the floral heart while the base includes woods and amber.,All Beauty
B002E5ERQ2,Glominerals gloEye Revitalize 0.23fl oz/6.8 ml,Buy glominerals Concealers & Correctors - glominerals gloEye Revitalize 0.23fl oz/6.8 ml,All Beauty
B0002HVYD8,"Kathe Kruse Terrycloth Baby, Blue/White","The Kathe&#xA0;Kruse Terrycloth Baby &#xA0;has been a true classic since the 1960's. Originally designed by&#xA0;Kathe&#xA0;Kruse's&#xA0;daughter Hanne&#xA0;Kruse, the terrycloth baby is&#xA0;an ideal first doll&#xA0;for the littlest children. Soft, cuddly terrycloth doll has a sweet face and huggable body. This cuddly little doll measures 12"" from head to toe, and is easy for even the littlest children to hug and carry. Carefully and lovingly crafted from high quality materials. The doll is machine washable on the gentle cycle and suitable for newborns. Imported from Germany.  Kathe Kruse has a long tradition of making dolls and toys that encourage creativity, foster learning at the child's own pace, and promote cooperative play.",Baby
161992241X,Cavallini 2014 Birds Wall Calendar,"Cavallini 2014 Birds Wall Calendar. These beautiful 18th century bird illustrations are the works of George Edwards and Mark Catesby. Edwards and Catesby were both known as preeminent ornithologists in England and America, respectively. Edwards was widely renowned for his publications A Natural History of Uncommon Birds and Gleanings of Natural History, while Catesby's Natural History of Carolina, Florida and the Bahama Islands was a landmark publication as the first systematic documentation of American flora and fauna. Since 1989, Cavallini has been creating classic wall and desk calendars. Each month, enjoy a beautiful new image selected from the Cavallini archives. Printed on Cavallini's signature Italian paper, the archival prints in this calendar are ideal for framing or collecting.",Office Products
B00000JCT6,"Motorola TalkAbout AA Battery Kit for 270, 280 &amp; T289 Series","This battery kit is a nice option for those not wanting to rely on the recharging option. Your Motorola radio will run on three AA batteries with this kit, providing up to thirty hours of radio use. The conversion kit is compatible with the Motorola TalkAbout 270, 280SLK and T289 radios. A perfect tool for those travelling or camping where recharging options are minimal.What's in the BoxTalkabout battery kit.",Electronics
B000G80RMC,JJ Cole Essentials Bottle Pod-Sky/Lemon,"The ess&#xE9;ntials&#xBF; bottle pod adds a new dimension to combining confidence in style and function.  The insulated bottle pod, with a complete zipper closure, is perfect for keeping Baby's bottle, food or sippy cup warm or cold while on the go.  With the stylish attach-anywhere handle, you have easy access whenever you need it.  The inner and outer materials are easy to wipe clean when mishaps occur. The panache ess&#xE9;ntials&#xBF; bottle pod adds a fashionable flair when attached to car seat, stroller, even diaper bags.  With six different color patterns, no doubt one of the styles is an ideal fit for any mom.",Baby
1580376738,Carson Dellosa Mark Twain All About Informational Text Bulletin Board Set (410081),The All About Informational Text Bulletin Board Set features four charts that help teach the Reading: Informational Text strand of the Common Core State Standards. The first chart is an overview of informational text.,Office Products
9269808777,1/10 2.4Ghz Exceed RC Electric SunFire RTR Off Road Buggy Baha Red,"The Exceed RC Sunfire EP Buggy is packed with loads of features that will provide hours of action packed off road smashing. The 2.4ghz transmitter and receiver system ensures you will have excellent communication between driver and vehicle. The transmitter also allows dual-rate adjustments for throttle and steering so you can fine tune the power delivery and steering control of this buggy. The power-train is reinforced and will handle extreme terrain. Metal geared front and rear differentials are driven by an aluminum center driveshaft and distributes the power to all four wheels. The power department is handled by a brushed 540 motor and supported by a 7.2v 1800mah Ni-Mh battery with charger included. Camber and toe settings are adjustable via turnbuckle linkages which allow you to make precise adjustments for the terrain your buggy is smashing through. The high down force wing and knobby tires ensures this buggy is planted to the ground at high speeds. This buggy comes out the box completely ready to run with the exception of 4 AA batteries for the transmitter. Simply pull the buggy out, charge the battery and your ready tame the unknown.Features:Adjustable front and rear suspensionAnodized aluminum radio trayOil filled adjustable shocksOff road knobby tiresStylish off road wingSpecifications:Wheelbase: 275mmGround Clearance: 26mmGear Ratio: 8.13:1Diameter of Wheel: 86mmWidth of Wheel: 32mmBattery: 7.2v 1800mAh Ni-MH",Toys & Games
B00000JBQX,Uniden 100 Channel Programmable Scanner (BC278CLT),"This Uniden scanner comes with a hundred channels, twelve bands, and five banks. It scans at 800 MHz. Fully programmable, the scanner also has a clock alarm and FM/AM reception with twenty presets. There is a special alarm for local weather and natural disaster alerts. The LCD screen is easy to read. The three day memory will help save important data during power outages or other mishaps.What's in the BoxScanner and user's manual.",Electronics
B0052YOI0M,Ragalta Portable Black Deluxe Ice Cube Maker - Ragalta RIM-2000,"Great for holidays and parties, this Ragalta ice maker will help create more room in your freezer and produce ice more quickly and neatly with no mess or spills!",Appliances
B00014DMCI,"TwinLab - Yohimbe Fuel, 100 capsules","Promotes stamina through increased blood flow Supports healthy sexual function Fast acting formula Standardized for purity and potency Proudly manufactured in our NSF GMP for Sport registered facility.How It Works: Twinlab Yohimbe is an herb derived from the bark of an evergreen tree that grows in western Africa and is best known for supporting healthy sexual function, stamina and energy.Twinlab Yohimbe Fuel uses a potent, high quality, purified extract of yohimbe bark that is standardized to contain 2% yohimbine, and delivers a full clinically tested quantity of 16mg total per day.",Health & Personal Care
B0001XGPBY,American Hydroponics SuperNova - 1 Quart,"SuperNova is a unique biostimulant that will enhance any stage of a plants life. SuperNova is highly concentrated, requiring less product to obtain the maximum positive results.","Patio, Lawn & Garden"
B00064V6LW,Children's bike shorts for cycling comfort.,"Child Padded Bike Shorts are Very High Quality! Fabric is 7 oz. 84% Nylon / 16% Spandex tricot knit four way stretch. Waist is soft elastic and the legs are cover-stitched to be smooth and comfy. Special thin Crotch make these shorts very popular with kids. It's surface is smooth, and soft. Children do not like a thick pad between their legs, ours is just right!  Kids are so comfortable in these shorts they wear them for many sports and fun in the sun.","Clothing, Shoes & Jewelry"
B0000225UN,Freud LU92M008 8-Inch 48 Tooth MTCG Laminate Cutting Saw Blade with 5/8-Inch Arbor,"The 8-inch Freud LU92M008 Thick Stock Laminate Cutting Saw Blade is a heavy-duty production blade designed to make smooth, chip-free cuts when working with thick laminates and melamine. It features a modified, application-specific, triple-chip tooth grind, the long-term dependability of TiCo high-density carbide, and the anti-friction performance of Freud's Silver I.C.E. coating.LU92M008 Thick Stock Laminate Cutting Saw BladeAt a Glance:Ideal for single- and double-sided laminates, melamine, and stacks of 3/4-inch manmade materialsHeavy-duty plate with laser-cut, anti-vibration slotsSilver I.C.E. coating reduces friction and prevents gummingTechnical Specs:CoatingSilver ICEDiameter8""Teeth48 MTCGArbor5/8""Kerf (K).126Plate (P).087Depth of CutModified Triple Chip Grind (MTCG) Tooth Designfor long life and chipfree cuts in thick stock manmade materialsNegative Hook Angleminimizes chipping in laminates and melamineSpecial Grind and Negative Hook Angle for Chip-Free LaminatesBuilt to leave a high-quality, chip-free finish on both the top and the bottom of thick laminates and melamine, this blade features 48 teeth with a special, modified triple-chip grind. Based on the results of extensive computer simulations, this grind is ideally suited to working with thick stock and stacks of single- or double-sided laminates. The blade's teeth also feature 6-degree, negative hook angles, which helps prevent the blade from being too aggressive and further reduces the possibility of chipping.This blade is designed for optimal performance when cutting stacks of 3/4-inch laminates and melamine, and it's also an excellent performer in plywood and chipboard. This blade can also crosscut or rip wood, and it can tackle thinner or thicker materials. However, some loss of surface finish may occur when it is used outside its ideal range. It has a 5/8-inch arbor and produces a 0.126 kerf.Well-Balanced, Anti-Vibration DesignThis Freud blade is precision balanced and pretensioned for truer cuts under heavy loads. It also features laser-cut, anti-vibration slots that reduce chatter for a cleaner finish, longer blade life, and reduced noise while you work. And because the entire blade is laser cut from high-strength steel, you can trust that it will stay stable, flat, and true, even after prolonged use. Furthermore, this well-balanced, anti-vibration design means there's no need to use add-on stabilizers with this blade.High-Density Carbide for Maximum Cutting PerformanceThis thick-stock saw blade's 48 teeth are finished with tips made from Freud's application-specific TiCo high-density carbide ""laminate blend."" Formulated to extend tooth life in the face of work with laminates, melamine, and solid surfaces, this blend is extra hard--due to the proportion of high-density tungsten carbide that goes into it--and it still offers the mix of improved corrosion resistance, heat resistance, and impact resistance that you expect from TiCo.With teeth that start out sharper and deliver improved edge retention, the blade can go longer between sharpening, and will hold up longer--saving you time and money.Silver I.C.E. Coating Resists Corrosion, Heat, and Resin BuildupThis blade is finished with Freud's Silver I.C.E. coating, which resists corrosion for improved performance over time. This unique coating also resists heat buildup, protecting your saw and your work surface and preventing the blade from warping. It also helps prevent resin or ""pitch"" buildup.Since gummy pitch buildup causes extra drag on the motor of your saw, less buildup means longer tool life and longer blade life. It also means less downtime for blade cleaning, so you get jobs done faster.This industrial saw blade is backed by Freud's limited lifetime warranty.About Freud: A History of Innovative ManufacturingAn industry leader for more than 50 years, Freud America, Inc. is a manufacturer and marketer of superior carbide cutting tools for the woodworking industry. Freud is one of the few manufacturers of woodworking tools in the world that produces its own MicroGrain Carbide with Titanium, called TiCo, a high-density combination of Titanium and Cobalt.By producing their own carbide, Freud has the unique ability to formulate each tool for each specific application, thereby maximizing the cutting life and performance of the tool. Freud's full line of high-quality, woodworking tools includes saw blades, router bits, shaper cutters, power tools, and more.What's in the BoxFreud LU92M008 Thick Stock Laminate Cutting Saw Blade--8-inch diameter, 5/8-inch arbor, 48-tooth design.",Tools & Home Improvement
B0002F4SYM,Promark L-Rods Lightning Rods,"Pro-Mark Corporation is the world's largest manufacturer dedicated exclusively to the design, production, and distribution of drumsticks, mallets, and percussion accessories. Questions/Comments? Call us on our Toll Free Drummer's Hotline at 877-Pro-Mark (776.6275) or e-mail us at info@promark.com.",Musical Instruments
B00004TKLS,GPX FRS200 2-Mile 14-Channel FRS Two-Way Radio,"The GPX FRS200 has more features than most radios in its class,  including support for 14 channels and 38 subcodes, a call button, a two-mile  range, and a backlit LCD. It's an easy-to-use FRS radio with a value price.The FRS200 was up and running as soon as we popped in the requisite four AAA  batteries. In our tests, the radio's sound quality was excellent. Its range was  comparable to that of most FRS radios we've tested--one mile under average  conditions, two miles under ideal conditions. Unfortunately, we ran into a few  snags when we tested some of the radio's more advanced features. The call  button, supposedly used to transmit a short call tone to others tuned to the  same channel, transmitted nothing but static. Another feature that emits a short  beep when the talk button is released (to let the others in your group know that  you've finished transmitting) was more annoying than useful. Also, the radio's  button layout is cumbersome. For example, the backlight button is integrated  with the push-to-talk button and is far too easy to press accidentally. Finally,  switching channels was more difficult than it should have been because the up  button is recessed.The FRS200 is a little thicker than an average FRS radio, but overall it's  compact and fits nicely in your hand. The construction of the FRS200 isn't as  good as that of the more expensive radios, nor is its overall design, but with  such a low price, these tradeoffs are expected. The radio supports all 14  channels assigned to FRS use, along with 38 subcodes per channel, so you  shouldn't have trouble finding an available frequency.Overall, if you can live with the FRS200's minor faults, we think you'll find it  a surprisingly good bargain.--T. Byrl BakerPros:Relatively inexpensiveMany features for the priceCons:Poor button layoutCall feature didn't work in our tests",Electronics
B0006FI8L2,18mm x 1.5 High Speed Steel Plug Tap,High Speed Steel. Plug Style (most common hand tap). Ground Thread.,Industrial & Scientific
B001DHNW2W,Sharp Rotary Sw Key Part # 0Gs6330160///,ROTARY SW KEY,Appliances
B000CEBHC4,"Lamaze One, Two Buckle My Shoe",Stage 3 board book about a child's classic rhyme. Features peek-a-boo flaps and engaging baby chick characters that are slowly revealed with each page.,Baby
B00004TF44,HP LaserJet 82X Print Cartridge - Retail Packaging - Black,HP 82X Black Original Toner Cartridge,Office Products
B0000537N5,"Neutrogena Instant Bronze Sunless Face Tanner and Bronzer, 2  Fluid Ounce","Sunless Tanner and Bronzer in Onestreak-free lotioninstant bronze glow as your sunless tan developsGet a healthy-looking glow instantly with Neutrogena Instant Bronze&reg; Sunless Tanner and Bronzer in One.The sheer bronzer provides a hint of temporary, natural looking color immediately upon application and allows you to see where you've applied it to help eliminate mistakes for flawless, even coverage.The sunless tanner is a medium shade that develops a streak-free, natural-looking tan that looks like a real tan and fades like a real tan.&nbsp; Oil-free formula absorbs quickly and dries in less than 5 minutes.&nbsp; Light, fresh fragrance is long lasting.Made in USA",Beauty
B0000ATDRF,CAP Barbell 10 lb Black Olympic Weight Plate,"CAP Barbell's Cast Iron Olympic Weight Plates have a hole that is 2"" in diameter. These weight lifting plates come in many different weight levels to allow the user a customized workout.  Machined center hole w/ baked enamel finish. Featuring smooth edges and extra rib for more support. Ideal for cardio vascular fitness and strength training. Made of solid cast iron.",Sports & Outdoors
9269808440,Mad Gear 1/16 Mini Electric Short Course RC Truck 2.4ghz Ready to Run (Orange),"Our Mad Gear short course truck now comes in a 1/16 size! It delivers big short course fun in a mini ready to fun package! The MadGear 1/16th Scale Short Course Truck is ready to conquer the dirt at your local track or favorite bashing spot. Turn your yard into a full on short course track! Featuring a 4 wheel drive drive train, adjustable suspension settings, and big bore oil filled shocks. Powered by an electric 380 brushed motor and a 7.2v 1100mah Ni-Mh battery this truck has enough power to power slide and drift around corners. Shock absorbing front and rear bumpers help protect the truck from minor collisions while the built in spring loaded servo saver will ensure the maximum life span from the pre-installed steering servo. Short course style rims and tires have also been included with this model to polish off the scale looks.Specifications:Motor Type: Electric Brushed RC 380 MotorDrive System: 4 Wheel DriveWheelbase: 173.6mm Front and RearTire Size: 64.3*30.6mmGround Clearance: 12.5mmShocks: Oil Filled Big Bore ShocksSpeed Control: ESC, Servo and Receiver - All in One UnitBattery: 7.2V 1100mah Ni-Mh Battery w/ ChargerRadio System: 2Ch 2.4GHz RemoteRequired to Run:4 AA Batteries for Transmitter",Toys & Games
B0002YXG78,Loctite 234796 10-Gram Bottle Super Glue Liquid,"For over 50 years, Loctite has provided customers with advanced adhesive and sealing solutions. Loctite 10-Gram Super Glue Liquid features a precision tip which allows controlled application without dripping, thus less mess. It has an easy-open cap with a metal pin that cleans and seals the nozzle for a clog-free performance. The long nozzle is ideal for gluing hard to reach surfaces. The finger-friendly bottle keeps fingers glue free, as well as allows for a continuous flow or a precise drop of glue. It bonds a variety of materials including leather, ceramic, rubber, paper, metal, china, wood and most plastics. Loctite 10-Gram Super Glue Liquid dries clear and sets without clamping. It is also resistant to moisture, most chemicals and freezing temperatures. Our uncompromising level of quality and innovation is achieved through a strong commitment to research and development. This commitment to innovation, quality and reliability has truly earned Loctite the reputation of delivering ""Trusted Performance. Proven Results"".",Industrial & Scientific
B002BDU77K,Maximal Power PDA Toshiba E310 Replacement Battery for Toshiba E310/E355/E3XX (Silver),Replacement Battery Kit for TOSHIBA E310/E355/E3XX,All Electronics
B0000AVEH7,Brownell's Acraglas Bedding 081-003-002,Brownells 081-003-002 Acraglas Rifle,Sports & Outdoors
B0002JGINW,Herbal Toothpaste Licorice 4.16 Oz - Auromere,"This highly effective Ayurvedic toothpaste combines the natural tooth-whitening fibre PEELU with the astringent and invigorating properties of NEEM and 22 other barks, roots, plants and flowers which have been esteemed for centuries by Ayurvedic specialists for maintaining optimum dental hygiene.",Industrial & Scientific
B0025YT53M,Cerama Bryte 23635 Cooktop Touchup Wipes 40 ct,Cerama Bryte 23635 cooktop touchup wipes,Appliances
B001D1BHYI,12 Pack FuzziBunz Cloth Diapers-BOY Colors MEDIUM,"The FuzziBunz Perfect-Size Diaper just may be one of the trimmest fitting cloth diapers around! If you want a diaper that offers a little adjustability but requires no fuss adjustments, then go with the tried and true, award-winning FuzziBunz Perfect-Size diapers! Just stuff the pocket of one of these 14 colorful fluffy diapers with an absorbent cloth and your baby is ready to go!",Baby Products
B00005MIU1,Siemens 4000 Gigaset 2.4 GHz Supplementary Handset (Silver with Black),"The ideal companion for your Siemens Gigaset 4010, 4015, 4200, 4210, or 4215, this Gigaset 4000 supplemental handset offers versatile 2.4 GHz digital technology in a lightweight, comfortable package. A 100-number phone book and your five most recently dialed numbers can be displayed on the large, five-line, backlit LCD screen, and the handset menu operates in 14 languages. Extend your freedom with hands-free speaking and open listening, plus room monitoring.The space-saving desktop charger has a pager to help you find the handset. The long-life battery offers 20 hours of talk and 300 hours of standby, plus a low-battery indicator.Additional features include wake-up function, date reminder, volume control, and an indicator for incoming calls. The walkie-talkie function lets you contact family members or office colleagues who also have a handset. A call timer lets you know how long a conversation has lasted.",Office Products
B000F1MXFE,Blitz 903 Ultra II Jewelry Cleaning Machine,"The Blitz Ultra II jewelry cleaning machine is perfect for travel. This sonic cleaning machine is light weight and includes everything you need to get the job done. This sleek battery operated unit features a single tank and two-speed cleaning action. The Blitz Ultra II includes two 0.5 fluid ounce packets of gem and jewelry cleaner concentrate, jewelry basket and brush. Battery operated. Non-toxic.","Clothing, Shoes & Jewelry"
B000207HA4,Brinkmann 812-3450-0 10-Pound Hickory Wood Chunks Bag,"Enhances the flavor of meat and vegetables when smoking or grilling. For use in charcoal, electric, and gas smokers/grills.","Patio, Lawn & Garden"
B004E65W72,Ck Free By Calvin Klein Eau De Toilette Spray 3.4 Oz For Men,"Ck Free By Calvin Klein Eau De Toilette Spray 3.4 Oz For Men : This is a modern, masculine woody aromatic fragrance for men, from the popular Ck line and was created by perfumer Rodrigo Flores-Roux. Top notes incorporate absynth, jackfruit, star annis and juniper berries. The heart is a union of suede, coffee, tobacco leaf and bunch (Agathosma betulina).Base notes are redolent of oak, patchouli, cedar and ironwood.",All Beauty
